po_id,supplier_id,supplier_name,supplier_country,material_category,material_criticality,order_date,promised_delivery_date,quantity_ordered,unit_price_usd,order_value_usd,payment_terms,shipping_method,distance_km,supplier_lead_time_avg_days,supplier_otd_rate_historical_pct,supplier_active_pos_count,is_peak_season,actual_delivery_date,delay_days,goods_receipt_status,is_late
PO-2024-001711,SUP-008,Shenzhen Precision Metals,South Korea,Component,Low,2024-12-22,2025-01-13,336,4.11,1380.96,Net 30,Sea,4218.2,14.4,61.0,7,1,2025-01-12,-1,Complete,0
PO-2024-002451,SUP-038,Supplier Generic 38,China,Raw Material,Low,2024-03-04,2024-03-19,805,10.37,8347.85,Net 30,air,3712.0,19.9,70.2,3,1,2024-03-17,-2,Complete,0
PO-2024-001219,SUP-008,Shenzhen Precision Metals,South Korea,MRO,Low,2024-10-09,2024-10-23,454,6.69,3037.26,COD,Air,4691.6,14.4,61.0,12,0,2024-10-21,-2,Complete,0
PO-2024-001428,SUP-031,Supplier Generic 31,USA,Packaging,Low,2024-02-29,2024-04-06,350,17.75,6212.5,Net 90,Sea,17883.4,30.5,89.8,5,0,2024-04-09,3,Complete,1
PO-2024-000645,SUP-005,PT Anugerah Kemasan,Indonesia,Raw Material,Low,2024-04-29,2024-05-06,1473,28.55,42054.15,Net 30,Land,326.9,2.0,98.1,3,1,2024-05-05,-1,Complete,0
PO-2024-000998,SUP-037,Supplier Generic 37,Indonesia,Raw Material,Medium,2024-12-25,2025-01-06,594,19.11,11351.34,Net 60,Land,328.8,9.5,88.9,7,1,2025-01-05,-1,Complete,0
PO-2024-001094,SUP-048,Supplier Generic 48,Indonesia,MRO,High,2024-06-17,2024-06-21,206,15.21,3133.26,Net 30,Courier,332.8,5.9,96.4,2,0,2024-06-19,-2,Complete,0
PO-2024-002453,SUP-042,Supplier Generic 42,South Korea,Raw Material,High,2024-02-03,2024-02-22,616,4.87,2999.92,COD,Sea,4772.1,15.4,64.2,4,0,2024-02-22,0,Pending,0
PO-2024-001924,SUP-043,Supplier Generic 43,Japan,Raw Material,Medium,2024-10-14,2024-10-28,2186,11.15,24373.9,Net 30,Air,5728.9,18.0,63.2,10,0,2024-11-01,4,Complete,1
PO-2024-001844,SUP-030,Supplier Generic 30,Japan,Packaging,Medium,2024-08-05,2024-08-30,240,3.86,926.4,Net 60,sea,6106.7,22.3,78.3,6,0,2024-08-28,-2,Complete,0
